benchmark,model,multi_turn,mode,token_relative_error,turn_relative_error,token_valid_turns,turn_valid_turns,total_turns,file
sokoban,Qwen32B-Think,True,multi,0.984756,0.718474,5111,5111,5111,sokoban_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
sokoban,Qwen32B-Instant,True,multi,0.992347,0.814482,5129,5129,5130,sokoban_512_qwen32b_instant.json
sokoban,GPT5.2-Think,True,multi,0.272369,0.296799,3119,3119,3140,sokoban_512_gpt5.2thinking_dialogues.json
sokoban,GPT5.2-Instant,True,multi,0.290154,8.252410,3382,3382,3480,sokoban_512_gpt5.2instant_dialogues.json
webshop,Qwen32B-Think,True,multi,0.448123,0.488897,4344,4349,4373,webshop_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
webshop,Qwen32B-Instant,True,multi,0.358013,0.414785,4581,4608,4608,webshop_512_qwen32b-instant_dialogues.json
webshop,GPT5.2-Think,True,multi,0.171440,0.120956,2693,2693,2696,webshop_512_gpt5.2thinking_dialogues.json
webshop,GPT5.2-Instant,True,multi,0.261883,0.343400,2433,2433,2433,webshop_512_gpt5.2instant_dialogues.json
frozen-lake,Qwen32B-Think,True,multi,0.992798,0.664248,5120,5120,5120,frozen-lake_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
frozen-lake,Qwen32B-Instant,True,multi,0.991082,0.400401,5120,5120,5120,frozen-lake_qwen-32b-instant_rollout_eval_estimation_dialogues.json
frozen-lake,GPT5.2-Think,True,multi,0.225496,0.370873,1818,1818,2238,frozen_lake_512_gpt5.2thinking_dialogues.json
frozen-lake,GPT5.2-Instant,True,multi,0.365918,0.203570,1447,1447,1448,frozen_lake_512_gpt5.2instant_dialogues.json
deepcoder,Qwen32B-Think,False,single,2.585330,,508,0,512,deepcoder_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
deepcoder,Qwen32B-Instant,False,single,0.484829,,512,0,512,deepcoder_qwen-32b-instant_rollout_eval_estimation_dialogues.json
deepcoder,GPT5.2-Think,False,single,0.272633,,155,0,512,deepcoder_512_gpt5.2thinking_dialogues.json
deepcoder,GPT5.2-Instant,False,single,0.384005,,402,0,512,deepcoder_512_gpt5.2instant_dialogues.json
search-r1,Qwen32B-Think,True,multi,0.430027,0.489694,2449,2450,2457,search-r1_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
search-r1,Qwen32B-Instant,True,multi,0.597316,0.441549,2560,2560,2560,search-r1_qwen-32b-instant_rollout_eval_estimation_dialogues.json
search-r1,GPT5.2-Think,True,multi,0.243247,0.336321,1166,1166,1244,search_r1_512_gpt5.2thinking_dialogues.json
search-r1,GPT5.2-Instant,True,multi,0.349533,0.341101,1238,1238,1253,search_r1_512_gpt5.2instant_dialogues.json
gpqa-main,Qwen32B-Think,False,single,0.685064,,492,0,512,gpqa-main_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
gpqa-main,Qwen32B-Instant,False,single,0.732212,,511,0,512,gpqa-main_qwen-32b-instant_rollout_eval_estimation_dialogues.json
gpqa-main,GPT5.2-Think,False,single,0.332634,,456,0,512,gpqa_main_512_gpt5.2thinking_dialogues.json
gpqa-main,GPT5.2-Instant,False,single,0.520058,,704,0,768,gpqa_main_512_gpt5.2instant_dialogues.json
