benchmark,model,multi_turn,mode,raw_records,unique_envs,success_count,success_rate,reward_positive_count,reward_positive_rate,completed_envs,incomplete_envs,completion_ratio,total_used_tokens,file
sokoban,Qwen32B-Think,True,multi,512,512,1,0.001953,1,0.001953,512,0,inf,,sokoban_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
sokoban,Qwen32B-Instant,True,multi,513,512,0,0.000000,0,0.000000,512,0,inf,,sokoban_512_qwen32b_instant.json
sokoban,GPT5.2-Think,True,multi,512,512,429,0.837891,429,0.837891,510,2,255.000000,,sokoban_512_gpt5.2thinking_dialogues.json
sokoban,GPT5.2-Instant,True,multi,512,512,358,0.699219,358,0.699219,440,72,6.111111,,sokoban_512_gpt5.2instant_dialogues.json
webshop,Qwen32B-Think,True,multi,512,512,17,0.033203,17,0.033203,512,0,inf,,webshop_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
webshop,Qwen32B-Instant,True,multi,512,512,0,0.000000,0,0.000000,512,0,inf,,webshop_512_qwen32b-instant_dialogues.json
webshop,GPT5.2-Think,True,multi,512,512,200,0.390625,200,0.390625,512,0,inf,7058457,webshop_512_gpt5.2thinking_dialogues.json
webshop,GPT5.2-Instant,True,multi,512,512,166,0.324219,166,0.324219,512,0,inf,5336380,webshop_512_gpt5.2instant_dialogues.json
frozen-lake,Qwen32B-Think,True,multi,512,512,0,0.000000,0,0.000000,512,0,inf,,frozen-lake_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
frozen-lake,Qwen32B-Instant,True,multi,512,512,0,0.000000,0,0.000000,512,0,inf,,frozen-lake_qwen-32b-instant_rollout_eval_estimation_dialogues.json
frozen-lake,GPT5.2-Think,True,multi,560,512,443,0.865234,443,0.865234,386,126,3.063492,2598701,frozen_lake_512_gpt5.2thinking_dialogues.json
frozen-lake,GPT5.2-Instant,True,multi,512,512,509,0.994141,509,0.994141,511,1,511.000000,1194880,frozen_lake_512_gpt5.2instant_dialogues.json
deepcoder,Qwen32B-Think,False,single,512,512,0,0.000000,0,0.000000,512,0,inf,,deepcoder_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
deepcoder,Qwen32B-Instant,False,single,512,512,0,0.000000,0,0.000000,512,0,inf,,deepcoder_qwen-32b-instant_rollout_eval_estimation_dialogues.json
deepcoder,GPT5.2-Think,False,single,512,512,61,0.119141,61,0.119141,155,357,0.434174,244244,deepcoder_512_gpt5.2thinking_dialogues.json
deepcoder,GPT5.2-Instant,False,single,512,512,115,0.224609,115,0.224609,402,110,3.654545,586168,deepcoder_512_gpt5.2instant_dialogues.json
search-r1,Qwen32B-Think,True,multi,512,512,15,0.029297,15,0.029297,512,0,inf,,search-r1_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
search-r1,Qwen32B-Instant,True,multi,512,512,0,0.000000,0,0.000000,512,0,inf,,search-r1_qwen-32b-instant_rollout_eval_estimation_dialogues.json
search-r1,GPT5.2-Think,True,multi,512,512,317,0.619141,317,0.619141,475,37,12.837838,1221307,search_r1_512_gpt5.2thinking_dialogues.json
search-r1,GPT5.2-Instant,True,multi,512,512,277,0.541016,277,0.541016,502,10,50.200000,736382,search_r1_512_gpt5.2instant_dialogues.json
gpqa-main,Qwen32B-Think,False,single,512,512,0,0.000000,0,0.000000,512,0,inf,,gpqa-main_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
gpqa-main,Qwen32B-Instant,False,single,512,512,0,0.000000,0,0.000000,512,0,inf,,gpqa-main_qwen-32b-instant_rollout_eval_estimation_dialogues.json
gpqa-main,GPT5.2-Think,False,single,512,512,382,0.746094,382,0.746094,458,54,8.481481,,gpqa_main_512_gpt5.2thinking_dialogues.json
gpqa-main,GPT5.2-Instant,False,single,768,512,347,0.677734,347,0.677734,471,41,11.487805,,gpqa_main_512_gpt5.2instant_dialogues.json
